date,item,market,price_kes,unit
2024-01-26,Tomatoes,Wakulima,84,per kg
2024-01-26,Sukuma Wiki,Wakulima,30,per bundle
2024-01-26,Onions,Wakulima,113,per kg
2024-01-26,Maize,Wakulima,143,per tin
2024-01-26,Potatoes,Wakulima,79,per kg
2024-01-26,Cabbage,Wakulima,54,per piece
2024-01-27,Tomatoes,Wakulima,77,per kg
2024-01-27,Sukuma Wiki,Wakulima,31,per bundle
2024-01-27,Onions,Wakulima,115,per kg
2024-01-27,Maize,Wakulima,143,per tin
2024-01-27,Potatoes,Wakulima,82,per kg
2024-01-27,Cabbage,Wakulima,62,per piece
2024-01-28,Tomatoes,Wakulima,76,per kg
2024-01-28,Sukuma Wiki,Wakulima,33,per bundle
2024-01-28,Onions,Wakulima,127,per kg
2024-01-28,Maize,Wakulima,140,per tin
2024-01-28,Potatoes,Wakulima,85,per kg
2024-01-28,Cabbage,Wakulima,62,per piece
2024-01-29,Tomatoes,Wakulima,72,per kg
2024-01-29,Sukuma Wiki,Wakulima,26,per bundle
2024-01-29,Onions,Wakulima,123,per kg
2024-01-29,Maize,Wakulima,144,per tin
2024-01-29,Potatoes,Wakulima,85,per kg
2024-01-29,Cabbage,Wakulima,61,per piece
2024-01-30,Tomatoes,Wakulima,81,per kg
2024-01-30,Sukuma Wiki,Wakulima,26,per bundle
2024-01-30,Onions,Wakulima,106,per kg
2024-01-30,Maize,Wakulima,141,per tin
2024-01-30,Potatoes,Wakulima,84,per kg
2024-01-30,Cabbage,Wakulima,57,per piece
2024-01-31,Tomatoes,Wakulima,80,per kg
2024-01-31,Sukuma Wiki,Wakulima,30,per bundle
2024-01-31,Onions,Wakulima,124,per kg
2024-01-31,Maize,Wakulima,133,per tin
2024-01-31,Potatoes,Wakulima,84,per kg
2024-01-31,Cabbage,Wakulima,55,per piece
2024-02-01,Tomatoes,Wakulima,82,per kg
2024-02-01,Sukuma Wiki,Wakulima,27,per bundle
2024-02-01,Onions,Wakulima,108,per kg
2024-02-01,Maize,Wakulima,142,per tin
2024-02-01,Potatoes,Wakulima,84,per kg
2024-02-01,Cabbage,Wakulima,54,per piece
2024-02-02,Tomatoes,Wakulima,72,per kg
2024-02-02,Sukuma Wiki,Wakulima,32,per bundle
2024-02-02,Onions,Wakulima,113,per kg
2024-02-02,Maize,Wakulima,151,per tin
2024-02-02,Potatoes,Wakulima,87,per kg
2024-02-02,Cabbage,Wakulima,52,per piece
2024-02-03,Tomatoes,Wakulima,88,per kg
2024-02-03,Sukuma Wiki,Wakulima,33,per bundle
2024-02-03,Onions,Wakulima,129,per kg
2024-02-03,Maize,Wakulima,160,per tin
2024-02-03,Potatoes,Wakulima,96,per kg
2024-02-03,Cabbage,Wakulima,56,per piece
2024-02-04,Tomatoes,Wakulima,80,per kg
2024-02-04,Sukuma Wiki,Wakulima,28,per bundle
2024-02-04,Onions,Wakulima,118,per kg
2024-02-04,Maize,Wakulima,139,per tin
2024-02-04,Potatoes,Wakulima,88,per kg
2024-02-04,Cabbage,Wakulima,66,per piece
2024-02-05,Tomatoes,Wakulima,73,per kg
2024-02-05,Sukuma Wiki,Wakulima,31,per bundle
2024-02-05,Onions,Wakulima,113,per kg
2024-02-05,Maize,Wakulima,141,per tin
2024-02-05,Potatoes,Wakulima,94,per kg
2024-02-05,Cabbage,Wakulima,63,per piece
2024-02-06,Tomatoes,Wakulima,77,per kg
2024-02-06,Sukuma Wiki,Wakulima,30,per bundle
2024-02-06,Onions,Wakulima,107,per kg
2024-02-06,Maize,Wakulima,138,per tin
2024-02-06,Potatoes,Wakulima,94,per kg
2024-02-06,Cabbage,Wakulima,58,per piece
2024-02-07,Tomatoes,Wakulima,77,per kg
2024-02-07,Sukuma Wiki,Wakulima,31,per bundle
2024-02-07,Onions,Wakulima,105,per kg
2024-02-07,Maize,Wakulima,145,per tin
2024-02-07,Potatoes,Wakulima,86,per kg
2024-02-07,Cabbage,Wakulima,61,per piece
2024-02-08,Tomatoes,Wakulima,71,per kg
2024-02-08,Sukuma Wiki,Wakulima,32,per bundle
2024-02-08,Onions,Wakulima,106,per kg
2024-02-08,Maize,Wakulima,135,per tin
2024-02-08,Potatoes,Wakulima,88,per kg
2024-02-08,Cabbage,Wakulima,59,per piece
2024-02-09,Tomatoes,Wakulima,72,per kg
2024-02-09,Sukuma Wiki,Wakulima,26,per bundle
2024-02-09,Onions,Wakulima,122,per kg
2024-02-09,Maize,Wakulima,137,per tin
2024-02-09,Potatoes,Wakulima,88,per kg
2024-02-09,Cabbage,Wakulima,59,per piece
2024-02-10,Tomatoes,Wakulima,79,per kg
2024-02-10,Sukuma Wiki,Wakulima,31,per bundle
2024-02-10,Onions,Wakulima,121,per kg
2024-02-10,Maize,Wakulima,160,per tin
2024-02-10,Potatoes,Wakulima,85,per kg
2024-02-10,Cabbage,Wakulima,63,per piece
2024-02-11,Tomatoes,Wakulima,76,per kg
2024-02-11,Sukuma Wiki,Wakulima,29,per bundle
2024-02-11,Onions,Wakulima,124,per kg
2024-02-11,Maize,Wakulima,145,per tin
2024-02-11,Potatoes,Wakulima,87,per kg
2024-02-11,Cabbage,Wakulima,63,per piece
2024-02-12,Tomatoes,Wakulima,70,per kg
2024-02-12,Sukuma Wiki,Wakulima,28,per bundle
2024-02-12,Onions,Wakulima,124,per kg
2024-02-12,Maize,Wakulima,155,per tin
2024-02-12,Potatoes,Wakulima,78,per kg
2024-02-12,Cabbage,Wakulima,54,per piece
2024-02-13,Tomatoes,Wakulima,73,per kg
2024-02-13,Sukuma Wiki,Wakulima,32,per bundle
2024-02-13,Onions,Wakulima,122,per kg
2024-02-13,Maize,Wakulima,152,per tin
2024-02-13,Potatoes,Wakulima,84,per kg
2024-02-13,Cabbage,Wakulima,53,per piece
2024-02-14,Tomatoes,Wakulima,82,per kg
2024-02-14,Sukuma Wiki,Wakulima,30,per bundle
2024-02-14,Onions,Wakulima,117,per kg
2024-02-14,Maize,Wakulima,155,per tin
2024-02-14,Potatoes,Wakulima,89,per kg
2024-02-14,Cabbage,Wakulima,51,per piece
2024-02-15,Tomatoes,Wakulima,81,per kg
2024-02-15,Sukuma Wiki,Wakulima,27,per bundle
2024-02-15,Onions,Wakulima,118,per kg
2024-02-15,Maize,Wakulima,153,per tin
2024-02-15,Potatoes,Wakulima,79,per kg
2024-02-15,Cabbage,Wakulima,53,per piece
2024-02-16,Tomatoes,Wakulima,70,per kg
2024-02-16,Sukuma Wiki,Wakulima,29,per bundle
2024-02-16,Onions,Wakulima,110,per kg
2024-02-16,Maize,Wakulima,145,per tin
2024-02-16,Potatoes,Wakulima,90,per kg
2024-02-16,Cabbage,Wakulima,54,per piece
2024-02-17,Tomatoes,Wakulima,82,per kg
2024-02-17,Sukuma Wiki,Wakulima,28,per bundle
2024-02-17,Onions,Wakulima,120,per kg
2024-02-17,Maize,Wakulima,160,per tin
2024-02-17,Potatoes,Wakulima,96,per kg
2024-02-17,Cabbage,Wakulima,55,per piece
2024-02-18,Tomatoes,Wakulima,79,per kg
2024-02-18,Sukuma Wiki,Wakulima,28,per bundle
2024-02-18,Onions,Wakulima,110,per kg
2024-02-18,Maize,Wakulima,157,per tin
2024-02-18,Potatoes,Wakulima,93,per kg
2024-02-18,Cabbage,Wakulima,57,per piece
2024-02-19,Tomatoes,Wakulima,80,per kg
2024-02-19,Sukuma Wiki,Wakulima,29,per bundle
2024-02-19,Onions,Wakulima,113,per kg
2024-02-19,Maize,Wakulima,131,per tin
2024-02-19,Potatoes,Wakulima,78,per kg
2024-02-19,Cabbage,Wakulima,62,per piece
2024-02-20,Tomatoes,Wakulima,83,per kg
2024-02-20,Sukuma Wiki,Wakulima,29,per bundle
2024-02-20,Onions,Wakulima,121,per kg
2024-02-20,Maize,Wakulima,145,per tin
2024-02-20,Potatoes,Wakulima,80,per kg
2024-02-20,Cabbage,Wakulima,53,per piece
2024-02-21,Tomatoes,Wakulima,73,per kg
2024-02-21,Sukuma Wiki,Wakulima,32,per bundle
2024-02-21,Onions,Wakulima,120,per kg
2024-02-21,Maize,Wakulima,152,per tin
2024-02-21,Potatoes,Wakulima,93,per kg
2024-02-21,Cabbage,Wakulima,54,per piece
2024-02-22,Tomatoes,Wakulima,72,per kg
2024-02-22,Sukuma Wiki,Wakulima,25,per bundle
2024-02-22,Onions,Wakulima,120,per kg
2024-02-22,Maize,Wakulima,152,per tin
2024-02-22,Potatoes,Wakulima,84,per kg
2024-02-22,Cabbage,Wakulima,59,per piece
2024-02-23,Tomatoes,Wakulima,71,per kg
2024-02-23,Sukuma Wiki,Wakulima,32,per bundle
2024-02-23,Onions,Wakulima,122,per kg
2024-02-23,Maize,Wakulima,154,per tin
2024-02-23,Potatoes,Wakulima,92,per kg
2024-02-23,Cabbage,Wakulima,62,per piece
2024-02-24,Tomatoes,Wakulima,73,per kg
2024-02-24,Sukuma Wiki,Wakulima,32,per bundle
2024-02-24,Onions,Wakulima,117,per kg
2024-02-24,Maize,Wakulima,161,per tin
2024-02-24,Potatoes,Wakulima,96,per kg
2024-02-24,Cabbage,Wakulima,64,per piece
2024-02-25,Tomatoes,Wakulima,85,per kg
2024-02-25,Sukuma Wiki,Wakulima,28,per bundle
2024-02-25,Onions,Wakulima,126,per kg
2024-02-25,Maize,Wakulima,141,per tin
2024-02-25,Potatoes,Wakulima,97,per kg
2024-02-25,Cabbage,Wakulima,64,per piece
2024-02-26,Tomatoes,Wakulima,72,per kg
2024-02-26,Sukuma Wiki,Wakulima,31,per bundle
2024-02-26,Onions,Wakulima,114,per kg
2024-02-26,Maize,Wakulima,138,per tin
2024-02-26,Potatoes,Wakulima,91,per kg
2024-02-26,Cabbage,Wakulima,54,per piece
2024-02-27,Tomatoes,Wakulima,69,per kg
2024-02-27,Sukuma Wiki,Wakulima,26,per bundle
2024-02-27,Onions,Wakulima,111,per kg
2024-02-27,Maize,Wakulima,152,per tin
2024-02-27,Potatoes,Wakulima,94,per kg
2024-02-27,Cabbage,Wakulima,55,per piece
2024-02-28,Tomatoes,Wakulima,79,per kg
2024-02-28,Sukuma Wiki,Wakulima,28,per bundle
2024-02-28,Onions,Wakulima,124,per kg
2024-02-28,Maize,Wakulima,144,per tin
2024-02-28,Potatoes,Wakulima,94,per kg
2024-02-28,Cabbage,Wakulima,53,per piece
2024-02-29,Tomatoes,Wakulima,84,per kg
2024-02-29,Sukuma Wiki,Wakulima,26,per bundle
2024-02-29,Onions,Wakulima,124,per kg
2024-02-29,Maize,Wakulima,137,per tin
2024-02-29,Potatoes,Wakulima,79,per kg
2024-02-29,Cabbage,Wakulima,56,per piece
2024-03-01,Tomatoes,Wakulima,84,per kg
2024-03-01,Sukuma Wiki,Wakulima,29,per bundle
2024-03-01,Onions,Wakulima,123,per kg
2024-03-01,Maize,Wakulima,151,per tin
2024-03-01,Potatoes,Wakulima,88,per kg
2024-03-01,Cabbage,Wakulima,61,per piece
2024-03-02,Tomatoes,Wakulima,81,per kg
2024-03-02,Sukuma Wiki,Wakulima,33,per bundle
2024-03-02,Onions,Wakulima,117,per kg
2024-03-02,Maize,Wakulima,168,per tin
2024-03-02,Potatoes,Wakulima,96,per kg
2024-03-02,Cabbage,Wakulima,66,per piece
2024-03-03,Tomatoes,Wakulima,88,per kg
2024-03-03,Sukuma Wiki,Wakulima,33,per bundle
2024-03-03,Onions,Wakulima,124,per kg
2024-03-03,Maize,Wakulima,148,per tin
2024-03-03,Potatoes,Wakulima,98,per kg
2024-03-03,Cabbage,Wakulima,61,per piece
2024-03-04,Tomatoes,Wakulima,78,per kg
2024-03-04,Sukuma Wiki,Wakulima,33,per bundle
2024-03-04,Onions,Wakulima,125,per kg
2024-03-04,Maize,Wakulima,146,per tin
2024-03-04,Potatoes,Wakulima,87,per kg
2024-03-04,Cabbage,Wakulima,59,per piece
2024-03-05,Tomatoes,Wakulima,79,per kg
2024-03-05,Sukuma Wiki,Wakulima,28,per bundle
2024-03-05,Onions,Wakulima,113,per kg
2024-03-05,Maize,Wakulima,149,per tin
2024-03-05,Potatoes,Wakulima,98,per kg
2024-03-05,Cabbage,Wakulima,62,per piece
2024-03-06,Tomatoes,Wakulima,87,per kg
2024-03-06,Sukuma Wiki,Wakulima,31,per bundle
2024-03-06,Onions,Wakulima,117,per kg
2024-03-06,Maize,Wakulima,152,per tin
2024-03-06,Potatoes,Wakulima,82,per kg
2024-03-06,Cabbage,Wakulima,58,per piece
2024-03-07,Tomatoes,Wakulima,79,per kg
2024-03-07,Sukuma Wiki,Wakulima,31,per bundle
2024-03-07,Onions,Wakulima,124,per kg
2024-03-07,Maize,Wakulima,150,per tin
2024-03-07,Potatoes,Wakulima,90,per kg
2024-03-07,Cabbage,Wakulima,57,per piece
2024-03-08,Tomatoes,Wakulima,80,per kg
2024-03-08,Sukuma Wiki,Wakulima,33,per bundle
2024-03-08,Onions,Wakulima,127,per kg
2024-03-08,Maize,Wakulima,143,per tin
2024-03-08,Potatoes,Wakulima,83,per kg
2024-03-08,Cabbage,Wakulima,60,per piece
2024-03-09,Tomatoes,Wakulima,87,per kg
2024-03-09,Sukuma Wiki,Wakulima,30,per bundle
2024-03-09,Onions,Wakulima,133,per kg
2024-03-09,Maize,Wakulima,164,per tin
2024-03-09,Potatoes,Wakulima,98,per kg
2024-03-09,Cabbage,Wakulima,60,per piece
2024-03-10,Tomatoes,Wakulima,80,per kg
2024-03-10,Sukuma Wiki,Wakulima,28,per bundle
2024-03-10,Onions,Wakulima,122,per kg
2024-03-10,Maize,Wakulima,158,per tin
2024-03-10,Potatoes,Wakulima,101,per kg
2024-03-10,Cabbage,Wakulima,58,per piece
2024-03-11,Tomatoes,Wakulima,79,per kg
2024-03-11,Sukuma Wiki,Wakulima,31,per bundle
2024-03-11,Onions,Wakulima,115,per kg
2024-03-11,Maize,Wakulima,155,per tin
2024-03-11,Potatoes,Wakulima,91,per kg
2024-03-11,Cabbage,Wakulima,57,per piece
2024-03-12,Tomatoes,Wakulima,83,per kg
2024-03-12,Sukuma Wiki,Wakulima,26,per bundle
2024-03-12,Onions,Wakulima,126,per kg
2024-03-12,Maize,Wakulima,157,per tin
2024-03-12,Potatoes,Wakulima,84,per kg
2024-03-12,Cabbage,Wakulima,59,per piece
2024-03-13,Tomatoes,Wakulima,75,per kg
2024-03-13,Sukuma Wiki,Wakulima,34,per bundle
2024-03-13,Onions,Wakulima,121,per kg
2024-03-13,Maize,Wakulima,140,per tin
2024-03-13,Potatoes,Wakulima,86,per kg
2024-03-13,Cabbage,Wakulima,64,per piece
2024-03-14,Tomatoes,Wakulima,80,per kg
2024-03-14,Sukuma Wiki,Wakulima,33,per bundle
2024-03-14,Onions,Wakulima,124,per kg
2024-03-14,Maize,Wakulima,162,per tin
2024-03-14,Potatoes,Wakulima,92,per kg
2024-03-14,Cabbage,Wakulima,66,per piece
2024-03-15,Tomatoes,Wakulima,87,per kg
2024-03-15,Sukuma Wiki,Wakulima,31,per bundle
2024-03-15,Onions,Wakulima,125,per kg
2024-03-15,Maize,Wakulima,151,per tin
2024-03-15,Potatoes,Wakulima,97,per kg
2024-03-15,Cabbage,Wakulima,61,per piece
2024-03-16,Tomatoes,Wakulima,91,per kg
2024-03-16,Sukuma Wiki,Wakulima,34,per bundle
2024-03-16,Onions,Wakulima,126,per kg
2024-03-16,Maize,Wakulima,153,per tin
2024-03-16,Potatoes,Wakulima,91,per kg
2024-03-16,Cabbage,Wakulima,65,per piece
2024-03-17,Tomatoes,Wakulima,89,per kg
2024-03-17,Sukuma Wiki,Wakulima,32,per bundle
2024-03-17,Onions,Wakulima,129,per kg
2024-03-17,Maize,Wakulima,153,per tin
2024-03-17,Potatoes,Wakulima,88,per kg
2024-03-17,Cabbage,Wakulima,61,per piece
2024-03-18,Tomatoes,Wakulima,77,per kg
2024-03-18,Sukuma Wiki,Wakulima,29,per bundle
2024-03-18,Onions,Wakulima,122,per kg
2024-03-18,Maize,Wakulima,142,per tin
2024-03-18,Potatoes,Wakulima,86,per kg
2024-03-18,Cabbage,Wakulima,63,per piece
2024-03-19,Tomatoes,Wakulima,84,per kg
2024-03-19,Sukuma Wiki,Wakulima,27,per bundle
2024-03-19,Onions,Wakulima,119,per kg
2024-03-19,Maize,Wakulima,152,per tin
2024-03-19,Potatoes,Wakulima,89,per kg
2024-03-19,Cabbage,Wakulima,57,per piece
2024-03-20,Tomatoes,Wakulima,79,per kg
2024-03-20,Sukuma Wiki,Wakulima,33,per bundle
2024-03-20,Onions,Wakulima,122,per kg
2024-03-20,Maize,Wakulima,156,per tin
2024-03-20,Potatoes,Wakulima,97,per kg
2024-03-20,Cabbage,Wakulima,63,per piece
2024-03-21,Tomatoes,Wakulima,79,per kg
2024-03-21,Sukuma Wiki,Wakulima,26,per bundle
2024-03-21,Onions,Wakulima,118,per kg
2024-03-21,Maize,Wakulima,157,per tin
2024-03-21,Potatoes,Wakulima,97,per kg
2024-03-21,Cabbage,Wakulima,66,per piece
2024-03-22,Tomatoes,Wakulima,79,per kg
2024-03-22,Sukuma Wiki,Wakulima,32,per bundle
2024-03-22,Onions,Wakulima,122,per kg
2024-03-22,Maize,Wakulima,153,per tin
2024-03-22,Potatoes,Wakulima,86,per kg
2024-03-22,Cabbage,Wakulima,57,per piece
2024-03-23,Tomatoes,Wakulima,84,per kg
2024-03-23,Sukuma Wiki,Wakulima,28,per bundle
2024-03-23,Onions,Wakulima,124,per kg
2024-03-23,Maize,Wakulima,163,per tin
2024-03-23,Potatoes,Wakulima,94,per kg
2024-03-23,Cabbage,Wakulima,59,per piece
2024-03-24,Tomatoes,Wakulima,84,per kg
2024-03-24,Sukuma Wiki,Wakulima,29,per bundle
2024-03-24,Onions,Wakulima,129,per kg
2024-03-24,Maize,Wakulima,147,per tin
2024-03-24,Potatoes,Wakulima,93,per kg
2024-03-24,Cabbage,Wakulima,64,per piece
2024-03-25,Tomatoes,Wakulima,73,per kg
2024-03-25,Sukuma Wiki,Wakulima,31,per bundle
2024-03-25,Onions,Wakulima,114,per kg
2024-03-25,Maize,Wakulima,150,per tin
2024-03-25,Potatoes,Wakulima,83,per kg
2024-03-25,Cabbage,Wakulima,59,per piece
2024-03-26,Tomatoes,Wakulima,76,per kg
2024-03-26,Sukuma Wiki,Wakulima,29,per bundle
2024-03-26,Onions,Wakulima,126,per kg
2024-03-26,Maize,Wakulima,148,per tin
2024-03-26,Potatoes,Wakulima,95,per kg
2024-03-26,Cabbage,Wakulima,64,per piece
2024-03-27,Tomatoes,Wakulima,77,per kg
2024-03-27,Sukuma Wiki,Wakulima,27,per bundle
2024-03-27,Onions,Wakulima,111,per kg
2024-03-27,Maize,Wakulima,152,per tin
2024-03-27,Potatoes,Wakulima,100,per kg
2024-03-27,Cabbage,Wakulima,58,per piece
2024-03-28,Tomatoes,Wakulima,83,per kg
2024-03-28,Sukuma Wiki,Wakulima,32,per bundle
2024-03-28,Onions,Wakulima,124,per kg
2024-03-28,Maize,Wakulima,157,per tin
2024-03-28,Potatoes,Wakulima,99,per kg
2024-03-28,Cabbage,Wakulima,57,per piece
2024-03-29,Tomatoes,Wakulima,73,per kg
2024-03-29,Sukuma Wiki,Wakulima,27,per bundle
2024-03-29,Onions,Wakulima,113,per kg
2024-03-29,Maize,Wakulima,155,per tin
2024-03-29,Potatoes,Wakulima,92,per kg
2024-03-29,Cabbage,Wakulima,57,per piece
2024-03-30,Tomatoes,Wakulima,88,per kg
2024-03-30,Sukuma Wiki,Wakulima,34,per bundle
2024-03-30,Onions,Wakulima,120,per kg
2024-03-30,Maize,Wakulima,161,per tin
2024-03-30,Potatoes,Wakulima,100,per kg
2024-03-30,Cabbage,Wakulima,59,per piece
2024-03-31,Tomatoes,Wakulima,90,per kg
2024-03-31,Sukuma Wiki,Wakulima,35,per bundle
2024-03-31,Onions,Wakulima,119,per kg
2024-03-31,Maize,Wakulima,147,per tin
2024-03-31,Potatoes,Wakulima,92,per kg
2024-03-31,Cabbage,Wakulima,65,per piece
2024-04-01,Tomatoes,Wakulima,100,per kg
2024-04-01,Sukuma Wiki,Wakulima,34,per bundle
2024-04-01,Onions,Wakulima,143,per kg
2024-04-01,Maize,Wakulima,163,per tin
2024-04-01,Potatoes,Wakulima,108,per kg
